price,title,stars,customer_reviews,recommended_price,RAM,ROM
,"['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Cámara de 12 MP, Android 8.0 Oreo), morado - Versión Italiana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
"EUR 616,99",['\n\n\n\n\n\n\n\n\nSamsung S9+ Black 4G 6.2IN 64G -\n\n\n\n\n\n\n\n'],4.0 de un máximo de 5 estrellas,25 opiniones de clientes,,6 GB,64 GB
"EUR 650,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 Plus - Smartphone de 6.2"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 6 GB de RAM, Cámara de 12 MP, Android 8.0 Oreo), Negro - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,6 GB,Android
"EUR 699,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 Plus - Smartphone de 6.2"" (4G LTE, Wi-Fi, Bluetooth, Octa-core 4x2.7 GHz, 64 GB de Memoria Interna, 6GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo) Negro - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,6 GB,64 GB
"EUR 34,90","['\n\n\n\n\n\n\n\n\nSamsung Clear View Standing Cover - Funda para Galaxy S9+, color Púrpura\n\n\n\n\n\n\n\n']",4.3 de un máximo de 5 estrellas,112 opiniones de clientes," EUR 49,90",1 GB,1 GB
"EUR 499,99","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 Dual SIM 64GB, Android 8.0 (Oreo), Negro - German Version\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
"EUR 599,99","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 Plus 6.2"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 6 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo), Negro, Versión Alemana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,6 GB,64 GB
"EUR 599,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Cámara de 12 MP, Android 8.0 Oreo) Negro - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,64 GB,4 GB
"EUR 442,99","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 6.2"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 6 GB de RAM, Cámara de 12 MP, Android 8.0 Oreo) Negro - Versión Italiana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
"EUR 493,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo) Azul - Versión Italiana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
,"['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 6.2"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 6 GB de RAM, Cámara de 12 MP, Android 8.0 Oreo) Azul - Versión Italiana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
"EUR 595,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo), Negro - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
"EUR 609,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo), Morado - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes," EUR 849,00",4 GB,64 GB
"EUR 609,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo) Azul - Versión Española\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes," EUR 849,00",4 GB,64 GB
"EUR 586,70","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S9 - Smartphone de 5.8"" (4G LTE, Wi-Fi, Bluetooth 5.0, Octa-core 4 x 2.7 GHz, 64 GB de Memoria Interna, 4 GB de RAM, Dual SIM, Cámara de 12 MP, Android 8.0 Oreo), Azul - Versión Alemana\n\n\n\n\n\n\n\n']",4.4 de un máximo de 5 estrellas,334 opiniones de clientes,,4 GB,64 GB
