price,title,stars,customer_reviews,recommended_price,RAM,ROM,url
"EUR 409,00","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8, Smartphone Libre (5.8"", 4GB RAM, 64GB, 12MP/Versión española: Incluye Samsung Pay, actualizaciones de Software y de Bixby, compatibilidad de Redes), Color Negro\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-espa%C3%B1ola/dp/B06XXFHG6J
"EUR 429,99","['\n\n\n\n\n\n\n\n\nSamsung SM-G950F Galaxy S8 - Smartphone (SIM única, 4G, 64GB, 14,7 cm (5.8""), 12 MP, Android, 7.0), Rosa, -[Versión Alemana]\n\n\n\n\n\n\n\n']",4.6 de un máximo de 5 estrellas,3 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-SM-G950F-Galaxy-S8-Smartphone/dp/B076X8K1ND
"EUR 414,42","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Negro, - [Versión italiana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XWN7VCQ
"EUR 26,08","['\n\n\n\n\n\n\n\n\nSamsung Clear View Standing, Funda para smartphone Samsung Galaxy S8 Plus, Negro\n\n\n\n\n\n\n\n']",4.3 de un máximo de 5 estrellas,335 opiniones de clientes," EUR 49,90",1,No,https://www.amazon.es/Samsung-Clear-Standing-smartphone-Galaxy/dp/B01N5W90KS
"EUR 37,41","['\n\n\n\n\n\n\n\n\nSamsung Clear View Cover, Funda para smartphone Samsung Galaxy S8, Azul (Gloss Blue)\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes,,-,5.8 pulgadas,https://www.amazon.es/Samsung-Clear-Cover-smartphone-Galaxy/dp/B01N7YRE8L
"EUR 19,80","['\n\n\n\n\n\n\n\n\nSamsung Dream Silicone Cover, Funda para smartphone Samsung Galaxy S8, Azul\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 29,90",1,No,https://www.amazon.es/Samsung-Dream-Silicone-Cover-Galaxy/dp/B01MRCT50P
"EUR 554,54","['\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 Plus - Smartphone libre de 6.2"" QHD+ (4 G, Bluetooth, Octa-Core S, 64 GB memoria interna, 4 GB RAM, camara de 12 MP, Android), Gris orquídea, - [Versión española]\n\n\n\n\n\n\n\n']",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Plus-Smartphone-Bluetooth/dp/B06XWXDMC2
"EUR 455,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 - Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Gris, - [Versión italiana: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes," EUR 809,00",4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XW9CFZH
"EUR 33,00","['\n\n\n\n\n\n\n\n\nSamsung Dream Clear View Stand Cover, Funda para smartphone Samsung Galaxy S8, Violeta\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 49,90",-,1,https://www.amazon.es/Samsung-Dream-smartphone-Galaxy-Violeta/dp/B01MRCT7ML
"EUR 20,40","['\n\n\n\n\n\n\n\n\nSamsung Dream Silicone Cover, Funda para smartphone Samsung Galaxy S8, Gris\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 29,90",1,No,https://www.amazon.es/Samsung-Dream-Silicone-Cover-Galaxy/dp/B01N3AQMP3
"EUR 416,00","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8 -Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP), Negro, - [Versión francesa: No incluye Samsung Pay ni acceso a promociones Samsung Members]\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,4 GB,64 GB,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-Francesa/dp/B06XW8Q72D
"EUR 26,08","['\n\n\n\n\n\n\n\n\nSamsung Clear View Cover, Funda para smartphone Samsung Galaxy S8, Negro\n\n\n\n\n\n\n\n']",4.2 de un máximo de 5 estrellas,578 opiniones de clientes," EUR 49,90",1,No,https://www.amazon.es/Samsung-Clear-View-Funda-Galaxy/dp/B01N9Y504T
"EUR 439,99","[""\n\n\n\n\n\n\n\n\nSamsung Galaxy S8, Smartphone libre (5.8'', 4GB RAM, 64GB, 12MP) [Versión alemana: No incluye Samsung Pay ni acceso a promociones Samsung Members], color Negro\n\n\n\n\n\n\n\n""]",4.1 de un máximo de 5 estrellas,683 opiniones de clientes,,64 GB,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-alemana/dp/B06XJ49G5B
